,Architecture,Min Watts,Max Watts,GB/Chip
0,EPYC 3rd Gen,0.43422929067460314,1.9477616567460316,128.0
1,Haswell,12.869117647058825,5.595383986928105,31.272727272727273
2,Cascade Lake,0.6867884751303118,4.06024993926142,107.2
3,Skylake,0.616810282475461,4.129348924389104,80.2051282051282
4,Broadwell,0.7128342245989304,3.6853275401069516,69.6470588235294
5,EPYC 2nd Gen,0.4742621527777777,1.6929615162037035,129.77777777777777
6,Coffee Lake,1.138425925925926,5.421759259259259,19.555555555555557
7,EPYC 1st Gen,0.8467881944444443,2.6041666666666665,92.44444444444444
