,Architecture,Min Watts,Max Watts,GB/Chip
0,Skylake,0.6045266600264814,3.8315897449019256,80.2051282051282
1,Broadwell,0.4741026069518717,3.385747304812834,69.6470588235294
2,Haswell,1.8573529411764709,5.539791259655377,31.272727272727273
3,EPYC 2nd Gen,0.4742621527777777,1.575187293981481,129.77777777777777
4,Cascade Lake,0.6772135115734605,3.74019873926142,107.2
5,EPYC 3rd Gen,0.43422929067460314,1.8187376567460316,128.0
6,Ivy Bridge,1.7074305555555556,5.492941535353536,17.454545454545453
7,Sandy Bridge,2.1415341848958334,8.550185877430936,16.480916030534353
