Hardware VendorTest Sponsor,SystemEnclosure (if applicable),Nodes,JVM Vendor,CPU Description,MHz,Chips,Cores,TotalThreads,TotalMemory (GB),ssj_ops @ 100%,avg. watts@ 100%,avg. watts@ active idle,Result(Overall ssj_ops/watt)
Dell Inc.,"PowerEdge R720 (Intel Xeon E5-2670 2.6 GHz)

 Mar 21 2012 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon E5-2670,2600,2,16,32,24,1238932,231,51,4658
Dell Inc.,"PowerEdge T620 (Intel Xeon E5-2670 2.6 GHz)

 Mar 21 2012 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon E5-2670,2600,2,16,32,24,1236311,227,50.2,4730
Dell Inc.,"PowerEdge M620 (Intel Xeon E5-2670 2.6 GHz)
Dell PowerEdge M1000e

 Apr  4 2012 | 
    HTML | 
    Text",16,Oracle Corporation,Intel Xeon E5-2670,2600,32,256,512,384,20208781,3881,828,4649
Dell Inc.,"PowerEdge R620 (Intel Xeon E5-2660 2.2 GHz)

 May  2 2012 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon E5-2660,2200,2,16,32,24,1304143,263,56.1,4577
Dell Inc.,"PowerEdge R720 (Intel Xeon E5-2660 2.2 GHz)

 May  2 2012 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon E5-2660,2200,2,16,32,24,1308474,250,52.7,4836
Dell Inc.,"PowerEdge T620 (Intel Xeon E5-2660 2.2 GHz)

 May  2 2012 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon E5-2660,2200,2,16,32,24,1316689,246,51.3,4929
Dell Inc.,"PowerEdge R820 (Intel Xeon E5-4650L 2.60 GHz)

 May 30 2012 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon E5-4650L,2600,4,32,64,48,2540179,446,110,4894
Dell Inc.,"PowerEdge M520
Dell PowerEdge M1000e

 May 30 2012 | 
    HTML | 
    Text",16,Oracle Corporation,Intel Xeon E5-2470,2300,32,256,512,384,20832566,4026,713,5034
Dell Inc.,"PowerEdge R420 (Intel Xeon E5-2470 2.30 GHz)

 Jun 14 2012 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon E5-2470,2300,2,16,32,24,1187945,205,51.2,4866
Dell Inc.,"PowerEdge M420
Dell PowerEdge M1000e

 Jul 11 2012 | 
    HTML | 
    Text",32,Oracle Corporation,Intel Xeon E5-2470,2300,64,512,1024,768,36985454,6854,1773,4535


Dell Inc.,"PowerEdge R815 (AMD Opteron 6278 2.40 GHz)

 Aug  8 2012 | 
    HTML | 
    Text",1,IBM Corp.,AMD Opteron 6278,2400,4,64,64,64,2331362,593,118,3028
Dell Inc.,"PowerEdge M820
Dell PowerEdge M1000e

 Aug 22 2012 | 
    HTML | 
    Text",8,IBM Corporation,Intel Xeon E5-4650L,2600,32,512,1024,384,21852947,3997,832,4853
Dell Inc.,"PowerEdge R620 (Intel Xeon E5-2660 2.20 GHz)

 Sep  5 2012 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E5-2660,2200,2,16,32,24,NC,NC,NC,NC
Dell Inc.,"PowerEdge R720 (Intel Xeon E5-2660 2.20 GHz)

 Sep  5 2012 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E5-2660,2200,2,16,32,24,NC,NC,NC,NC
Dell Inc.,"PowerEdge R820 (Intel Xeon E5-4650L 2.60 GHz)

 Sep  5 2012 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E5-4650L,2600,4,32,64,48,NC,NC,NC,NC
Dell Inc.,"PowerEdge T620 (Intel Xeon E5-2660 2.20 GHz)

 Sep  5 2012 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E5-2660,2200,2,16,32,24,NC,NC,NC,NC
Dell Inc.,"PowerEdge R520 (Intel Xeon E5-2470 2.30 GHz)

 Oct 17 2012 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E5-2470,2300,2,16,32,24,1496064,264,47.9,5504
Dell Inc.,"PowerEdge R720 (Intel Xeon E5-2660 2.20 GHz)

 Nov 14 2012 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E5-2660,2200,2,16,32,24,1447466,230,53.8,5497
Dell Inc.,"PowerEdge R420 (Intel Xeon E5-2470 2.30 GHz)

 Nov 14 2012 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E5-2470,2300,2,16,32,24,1511097,263,53.3,5420
Dell Inc.,"PowerEdge M520 (Intel Xeon E5-2470 (2.30 GHz)
Dell PowerEdge M1000e

 Nov 14 2012 | 
    HTML | 
    Text",16,IBM Corporation,Intel Xeon E5-2470,2300,32,384,512,256,23619377,4078,732,5521
Dell Inc.,"PowerEdge M915 (AMD Opteron 6380 2.50 GHz)
Dell PowerEdge M1000e

 Nov 14 2012 | 
    HTML | 
    Text",8,IBM Corporation,AMD Opteron 6380,2500,32,512,512,512,25132429,4562,976,4421
Dell Inc.,"PowerEdge R720 (Intel Xeon E5-2660 2.20 GHz)

 Nov 28 2012 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E5-2660,2200,2,16,32,24,1450585,231,52.3,5506
Dell Inc.,"PowerEdge T620 (Intel Xeon E5-2660 2.20 GHz)

 Nov 28 2012 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E5-2660,2200,2,16,32,24,1446931,242,51,5425


Dell Inc.,"PowerEdge R620 (Intel Xeon E5-2660 2.20 GHz)

 Nov 28 2012 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E5-2660,2200,2,16,32,24,1447399,248,54.9,5244
Dell Inc.,"PowerEdge R820 (Intel Xeon E5-4650L 2.60 GHz)

 Nov 28 2012 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E5-4650L,2600,4,32,64,48,2790966,457,108,5285
Dell Inc.,"PowerEdge C6105 (AMD Opteron 4376HE 2.6 GHz)
PowerEdge C6105

 Jan  9 2013 | 
    HTML | 
    Text",4,IBM Corporation,AMD Opteron 4376HE,2600,8,64,64,64,3209556,573,106,4510
Dell Inc.,"PowerEdge C6145 (AMD Opteron 6380 2.50 GHz)
PowerEdge C6145

 Jan  9 2013 | 
    HTML | 
    Text",2,IBM Corporation,AMD Opteron 6380,2500,8,128,128,128,6175935,1105,196,4499
Dell Inc.,"PowerEdge M620 (Intel Xeon E5-2670 2.60 GHz)
Dell PowerEdge M1000e

 Feb 20 2013 | 
    HTML | 
    Text",16,IBM Corporation,Intel Xeon E5-2670,2600,32,256,512,384,22753179,4057,833,4982
Dell Inc.,"PowerEdge C5220 (Intel Xeon E3-1265LV2)
PowerEdge C5220

 Apr 19 2013 | 
    HTML | 
    Text",12,IBM Corporation,Intel Xeon E3-1265LV2,2500,12,48,96,96,5258070,672,194,6000
Dell Inc.,"PowerEdge M620 (Intel Xeon E5-2660 v2 2.20 GHz)
Dell PowerEdge M1000e

 Oct 16 2013 | 
    HTML | 
    Text",16,IBM Corporation,Intel Xeon E5-2660 v2,2200,32,320,640,384,NC,NC,NC,NC
Dell Inc.,"PowerEdge R720 (Intel Xeon E5-2660 v2 2.20 GHz)

 Oct 16 2013 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E5-2660 v2,2200,2,20,40,24,NC,NC,NC,NC
Dell Inc.,"PowerEdge R620 (Intel Xeon E5-2660 v2 2.20 GHz)

 Nov 13 2013 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E5-2660 v2,2200,2,20,40,24,NC,NC,NC,NC
Dell Inc.,"PowerEdge T620 (Intel Xeon E5-2660 v2 2.20 GHz)

 Nov 13 2013 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E5-2660 v2,2200,2,20,40,24,NC,NC,NC,NC
Dell Inc.,"PowerEdge M520 (Intel Xeon E5-2470 v2 2.40 GHz)
Dell PowerEdge M1000e

 Jan 22 2014 | 
    HTML | 
    Text",16,IBM Corporation,Intel Xeon E5-2470 v2,2400,32,320,640,384,NC,NC,NC,NC
Dell Inc.,"PowerEdge R820 (Intel Xeon E5-4650 v2 2.40 GHz)

 Apr 16 2014 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E5-4650 v2,2400,4,40,80,48,NC,NC,NC,NC
Dell Inc.,"PowerEdge M820 (Intel Xeon E5-4650 v2 2.40 GHz)
Dell PowerEdge M1000e

 Apr 30 2014 | 
    HTML | 
    Text",8,IBM Corporation,Intel Xeon E5-4650 v2,2400,32,320,640,384,NC,NC,NC,NC


Dell Inc.,"PowerEdge R730 (Intel Xeon E5-2699 v3 2.30 GHz)

 Feb 18 2015 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E5-2699 v3,2300,2,36,72,64,3253446,272,46.9,10206
Dell Inc.,"PowerEdge T630 (Intel Xeon E5-2699 v3 2.30 GHz)

 Mar 18 2015 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E5-2699 v3,2300,2,36,72,64,3246430,273,48.1,10103
Dell Inc.,"PowerEdge R630 (Intel Xeon E5-2699 v3 2.30 GHz)

 Apr  1 2015 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E5-2699 v3,2300,2,36,72,64,3240418,287,51.2,9749
Dell Inc.,"PowerEdge C6320 (Intel Xeon E5-2699 v3 2.30 GHz)
Dell PowerEdge C6000

 Jul 28 2015 | 
    HTML | 
    Text",4,IBM Corporation,Intel Xeon E5-2699 v3,2300,8,144,288,256,12942825,1229,210,9472
Dell Inc.,"PowerEdge M830 (Intel Xeon E5-4669 v3 2.10 GHz)
Dell PowerEdge M1000e

 Jul 28 2015 | 
    HTML | 
    Text",8,IBM Corporation,Intel Xeon E5-4669 v3,2100,32,576,1152,1024,NC,NC,NC,NC
Dell Inc.,"PowerEdge FC630 (Intel Xeon E5-2699 v3 2.30 GHz)
Dell PowerEdge FX2

 Aug  6 2015 | 
    HTML | 
    Text",4,IBM Corporation,Intel Xeon E5-2699 v3,2300,8,144,288,256,12981292,1256,228,9288
Dell Inc.,"PowerEdge R730 (Intel Xeon E5-2699 v4 2.20 GHz)

 Apr 15 2016 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon E5-2699 v4,2200,2,44,88,128,3341589,269,44.9,10802
Dell Inc.,"PowerEdge M630 (Intel Xeon E5-2699 v4 2.20 GHz)
Dell PowerEdge M1000e

 May 25 2016 | 
    HTML | 
    Text",16,Oracle,Intel Xeon E5-2699 v4,2200,32,704,1408,2048,57024126,4918,878,10062
Dell Inc.,"PowerEdge R630 (Intel Xeon E5-2699 v4 2.20 GHz)

 May 25 2016 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon E5-2699 v4,2200,2,44,88,128,3529367,279,46.7,11157
Dell Inc.,"PowerEdge R730 (Intel Xeon E5-2699 v4 2.20 GHz)

 May 25 2016 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon E5-2699 v4,2200,2,44,88,128,3513207,272,44.6,11423
Dell Inc.,"PowerEdge R830 (Intel Xeon E5-4669 v4 2.20 GHz)

 Jul 20 2016 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon E5-4669 v4,2200,4,88,176,256,7064778,562,86.4,11064
Dell Inc.,"PowerEdge R740

 Sep 13 2017 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon Platinum 8180,2500,2,56,112,192,5727798,457,52.3,11790
Dell Inc.,"PowerEdge R640

 Sep 13 2017 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon Platinum 8180,2500,2,56,112,192,5759892,469,55,11542


Dell Inc.,"PowerEdge T640

 Sep 27 2017 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon Platinum 8180,2500,2,56,112,192,5805252,469,56,11537
Dell Inc.,"PowerEdge R940

 Oct 25 2017 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon Platinum 8180,2500,4,112,224,384,11528804,915,106,11958
Dell Inc.,"PowerEdge R7425 (AMD EPYC 7601 2.20 GHz)

 Jun  7 2018 | 
    HTML | 
    Text",1,Oracle Corporation,AMD EPYC 7601,2200,2,64,128,128,4376919,287,84.9,11064
Dell Inc.,"PowerEdge R840 (Intel Xeon Platinum 8180 2.50 GHz)

 Jul  5 2018 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon Platinum 8180,2500,4,112,224,384,11546450,939,89.8,11872
Dell Inc.,"PowerEdge R840 (Intel Xeon Platinum 8180 2.50 GHz)

 Jul 18 2018 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon Platinum 8180,2500,4,112,224,384,11355761,923,85.6,11962
Dell Inc.,"PowerEdge R7425 (AMD EPYC 7601 2.20 GHz)

 Feb 27 2019 | 
    HTML | 
    Text",1,Oracle Corporation,AMD EPYC 7601 Dell SKU [338-BNCG],2200,2,64,128,128,4374583,268,77.5,11867
Dell Inc.,"PowerEdge R740 (Intel Xeon Platinum 8280 2.70 GHz)

 Apr 25 2019 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon Platinum 8280,2700,2,56,112,192,5811114,432,49.8,12831
Dell Inc.,"PowerEdge R240 (Intel Xeon E-2176G 3.70 GHz)

 Jul 17 2019 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon E-2176G,3700,1,6,12,32,856931,93.1,20,8913
Dell Inc.,"PowerEdge R7515 (AMD EPYC 7742 2.25 GHz)

HTML | 
    Text",1,Oracle Corporation,AMD EPYC 7742,2250,1,64,128,128,5676534,246,99.5,16501
Dell Inc.,"PowerEdge R6525 (AMD EPYC 7702 2.00 GHz)

 Mar 25 2020 | 
    HTML | 
    Text",1,Oracle Corporation,AMD EPYC 7702,2000,2,128,256,128,11115782,404,81.6,20184
Dell Inc.,"PowerEdge R7525 (AMD EPYC 7702 2.00 GHz)

 Apr  8 2020 | 
    HTML | 
    Text",1,Oracle Corporation,AMD EPYC 7702,2000,2,128,256,128,11118115,393,72.3,20910
Dell Inc.,"PowerEdge R6515 (AMD EPYC 7702P 2.00 GHz)

 Aug 12 2020 | 
    HTML | 
    Text",1,Oracle Corporation,AMD EPYC 7702P,2000,1,64,128,64,6124305,231,54.5,18463
Dell Inc.,"PowerEdge XR8620T (Intel Xeon Gold 6421N 1.80 GHz)
XR8000

 Mar 29 2023 | 
    HTML | 
    Text",2,Oracle Corporation,Intel Xeon Gold 6421N,1800,2,64,128,256,6629564,487,170,9994


Dell Inc.,"PowerEdge XR4510c (Intel Xeon D-2776NT 2.10 GHz)
XR4000

 Mar 29 2023 | 
    HTML | 
    Text",4,Oracle Corporation,Intel Xeon-D 2776NT,2100,4,64,128,128,5879025,561,200,8102
"Dell Inc.
Dell Inc.","PowerEdge R710 (Intel Xeon X5570 2.93 GHz)

 Mar 30 2009 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon X5570,2933,2,8,16,12,541345,237,75.6,1746
"Dell Inc.
Dell","PowerEdge R620 (Intel Xeon E5-2660 2.2 GHz)

 Apr  4 2012 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon E5-2660,2200,2,16,32,24,1261803,258,56.1,4525
"Dell Inc.
Dell","PowerEdge T620 (Intel Xeon E5-2660 2.2 GHz)

 Apr  4 2012 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon E5-2660,2200,2,16,32,24,1290357,240,50.3,4874
"FALINUX Inc.
Telecommunications Technology Association","AnyStor-700EC
AnyStor-700EC-NM(8 Bays)

 Dec  8 2022 | 
    HTML | 
    Text",2,Oracle Corporation,Ampere® Altra® 64-Bit Multi-Core Processor Q64-30,3000,2,128,128,64,3005115,250,125,8436
"FALINUX Inc.
Telecommunications Technology Association","AnyStor-700EC

 Dec 12 2022 | 
    HTML | 
    Text",1,Oracle Corporation,Ampere® Altra® 64-Bit Multi-Core Processor Q64-30,3000,1,64,64,32,1505529,123,73.1,8335
Five9 Network Systems,"Five9 N1200 Carrier Grade Server

 Apr 28 2011 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon X5670,2930,2,12,24,12,542457,190,76.5,1990
Fujitsu,"PRIMERGY TX100 S1 (Intel Xeon L3360)

 Jul 15 2009 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon L3360,2833,1,4,4,8,212779,94.7,46.2,1500
Fujitsu,"PRIMERGY RX100 S6 (Intel Xeon X3470)

 Feb  2 2010 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon X3470,2933,1,4,8,4,278441,130,35,1842
Fujitsu,"PRIMERGY TX150 S7 (Intel Xeon X3470)

 Feb  2 2010 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon X3470,2933,1,4,8,4,276514,112,24.3,2187
Fujitsu,"PRIMERGY CX120 S1 (Intel Xeon L5530)
PRIMERGY CX1000 S1

 Mar 24 2010 | 
    HTML | 
    Text",38,IBM Corporation,Intel Xeon L5530,2400,76,304,608,304,19939326,6303,1842,2320
Fujitsu,"PRIMERGY RX300 S6 (Intel Xeon X5670)

 Apr  7 2010 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,917763,245,77.9,2822
Fujitsu,"PRIMERGY RX200 S6 (Intel Xeon X5670)

 Apr  7 2010 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,913790,242,76.2,2850


Fujitsu,"PRIMERGY TX300 S6 (Intel Xeon X5670)

 May 19 2010 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,916072,236,78.5,2900
Fujitsu,"PRIMERGY TX150 S7 (Intel Xeon X3480)

 Dec  1 2010 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon X3480,3067,1,4,8,4,330353,113,24.8,2513
Fujitsu,"PRIMERGY RX100 S6 (Intel Xeon X3480)

 Dec  1 2010 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon X3480,3067,1,4,8,4,325193,127,33.4,2155
Fujitsu,"PRIMERGY TX300 S6 (Intel Xeon X5675)

 Mar  9 2011 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon X5675,3066,2,12,24,12,930315,236,74.8,2989
Fujitsu,"PRIMERGY TX140 S1 (Intel Xeon E3-1260L)

 Apr 27 2011 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon E3-1260L,2400,1,4,8,8,319659,53.6,16.8,4549
Fujitsu,"PRIMERGY TX120 S3 (Intel Xeon E3-1260L)

 Jun 16 2011 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon E3-1260L,2400,1,4,8,8,322691,54,14.9,4697
Fujitsu,"PRIMERGY RX100 S7 (Intel Xeon E3-1260L)

 Jun 16 2011 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon E3-1260L,2400,1,4,8,8,319958,57.2,17.8,4323
Fujitsu,"PRIMERGY BX920 S2 (Intel Xeon X5675)
PRIMERGY BX900 S1

 Oct  6 2011 | 
    HTML | 
    Text",18,Oracle Corporation,Intel Xeon X5675,3067,36,216,432,216,17108146,4272,1032,3221
Fujitsu,"PRIMERGY RX300 S7 (Intel Xeon E5-2660)

 Mar 21 2012 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon E5-2660,2200,2,16,32,32,1343300,245,53.1,5032
Fujitsu,"PRIMERGY RX200 S7 (Intel Xeon E5-2660)

 Apr 25 2012 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon E5-2660,2200,2,16,32,32,1338554,257,58.6,4722
Fujitsu,"PRIMERGY BX920 S3 (Intel Xeon E5-2470)
PRIMERGY BX900 S2

 May 30 2012 | 
    HTML | 
    Text",18,Oracle Corporation,Intel Xeon E5-2470,2300,36,288,576,432,23884347,4965,1014,4677
Fujitsu,"PRIMERGY RX100 S7p (Intel Xeon E3-1265LV2)

 May 30 2012 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon E3-1265LV2,2500,1,4,8,8,416999,59.5,19.1,5576
Fujitsu,"PRIMERGY TX120 S3p (Intel Xeon E3-1265LV2)

 May 30 2012 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon E3-1265LV2,2500,1,4,8,8,420255,56.2,15.7,6109


Fujitsu,"PRIMERGY TX300 S7 (Intel Xeon E5-2660)

 Jun 27 2012 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon E5-2660,2200,2,16,32,24,1309437,240,52.6,5032
Fujitsu,"PRIMERGY RX350 S7 (Intel Xeon E5-2660)

 Jun 27 2012 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon E5-2660,2200,2,16,32,24,1306867,240,52.3,5035
Fujitsu,"PRIMERGY TX140 S1p (Intel Xeon E3-1265LV2)

 Jul 11 2012 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon E3-1265LV2,2500,1,4,8,8,417806,55.3,18.9,5887
Fujitsu,"PRIMERGY RX500 S7 (Intel Xeon E5-4640)

 Aug  8 2012 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon E5-4640,2400,4,32,64,48,2347591,402,94.6,5029
Fujitsu,"PRIMERGY TX200 S7 (Intel Xeon E5-2470)

 Aug 22 2012 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon E5-2470,2300,2,16,32,24,1367462,252,51.4,5177
Fujitsu,"PRIMERGY TX100 S3p (Intel Xeon E3-1240V2)

 Aug 22 2012 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon E3-1240V2,3400,1,4,8,8,467481,72.5,14.1,6008
Fujitsu,"PRIMERGY TX200 S7 (Intel Xeon E5-2470)

 Sep 19 2012 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E5-2470,2300,2,16,32,24,1516025,252,50.7,5689
Fujitsu,"PRIMERGY RX500 S7 (Intel Xeon E5-4640)

 Sep 19 2012 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E5-4640,2400,4,32,64,48,2619038,420,97.1,5350
Fujitsu,"PRIMERGY RX300 S7 (Intel Xeon E5-2660)

 Oct  3 2012 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E5-2660,2200,2,16,32,24,1432829,245,54,5406
Fujitsu,"PRIMERGY RX200 S7 (Intel Xeon E5-2660)

 Oct  3 2012 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E5-2660,2200,2,16,32,24,1442516,258,59.8,5058
Fujitsu,"PRIMERGY RX350 S7 (Intel Xeon E5-2660)

 Oct  3 2012 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E5-2660,2200,2,16,32,24,1432623,245,55.2,5347
Fujitsu,"PRIMERGY TX300 S7 (Intel Xeon E5-2660)

 Oct  3 2012 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E5-2660,2200,2,16,32,24,1440306,246,55.1,5372
Fujitsu,"PRIMERGY TX140 S2 (Intel Xeon E3-1265Lv3)

 Oct  2 2013 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E3-1265Lv3,2500,1,4,8,8,491887,58.5,19,6797


Fujitsu,"PRIMERGY RX300 S8 (Intel Xeon E5-2660 v2)

 Oct  2 2013 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E5-2660 v2,2200,2,20,40,48,NC,NC,NC,NC
Fujitsu,"PRIMERGY RX350 S8 (Intel Xeon E5-2660 v2)

 Oct  2 2013 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E5-2660 v2,2200,2,20,40,48,NC,NC,NC,NC
Fujitsu,"PRIMERGY TX300 S8 (Intel Xeon E5-2660 v2)

 Oct  2 2013 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E5-2660 v2,2200,2,20,40,48,NC,NC,NC,NC
Fujitsu,"PRIMERGY RX200 S8 (Intel Xeon E5-2660 v2)

 Oct  2 2013 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E5-2660 v2,2200,2,20,40,48,NC,NC,NC,NC
Fujitsu,"PRIMERGY RX100 S8 (Intel Xeon E3-1265Lv3)

 Nov 13 2013 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E3-1265Lv3,2500,1,4,8,8,490149,69.8,17.7,6137
Fujitsu,"PRIMERGY BX920 S4 (Intel Xeon E5-2470 v2)
PRIMERGY BX900 S2

 Jan 22 2014 | 
    HTML | 
    Text",18,IBM Corporation,Intel Xeon E5-2470 v2,2400,36,360,720,864,NC,NC,NC,NC
Fujitsu,"FUJITSU Server PRIMERGY TX2540 M1

 Apr 16 2014 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E5-2470 v2,2400,2,20,40,48,NC,NC,NC,NC
Fujitsu,"FUJITSU Server PRIMERGY RX1330 M1

 Aug 22 2014 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E3-1275Lv3,2500,1,4,8,16,NC,NC,NC,NC
Fujitsu,"FUJITSU Server PRIMERGY RX2540 M1

 Oct 21 2014 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E5-2699 v3,2300,2,36,72,64,3257627,271,39,10654
Fujitsu,"FUJITSU Server PRIMERGY CX2550 M1
PRIMERGY CX400 M1

 Dec 10 2014 | 
    HTML | 
    Text",4,IBM Corporation,Intel Xeon E5-2699 v3,2300,8,144,288,256,12913912,1152,171,9971
Fujitsu,"FUJITSU Server PRIMERGY RX2530 M1

 Feb  5 2015 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E5-2699 v3,2300,2,36,72,64,3231698,289,47.3,9811
Fujitsu,"FUJITSU Server PRIMERGY TX1320 M1

 Feb  5 2015 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E3-1275Lv3,2700,1,4,8,16,508794,60,13.3,7535
Fujitsu,"FUJITSU Server PRIMERGY TX2560 M1

 Apr  1 2015 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E5-2699 v3,2300,2,36,72,64,3253898,264,40,10685


Fujitsu,"FUJITSU Server PRIMERGY RX2560 M1

 Apr  1 2015 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E5-2699 v3,2300,2,36,72,64,3256040,267,40.1,10699
Fujitsu,"FUJITSU Server PRIMERGY RX1330 M1

 Jun  2 2015 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E3-1275Lv3,2700,1,4,8,16,508013,63.9,16,6916
Fujitsu,"FUJITSU Server PRIMERGY TX1320 M2

 Nov 25 2015 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon E3-1260L v5,2900,1,4,8,16,478512,44.7,11.6,8944
Fujitsu,"FUJITSU Server PRIMERGY RX1330 M2

 Dec 15 2015 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon E3-1260L v5,2900,1,4,8,16,474047,47.7,16,7809
Fujitsu,"FUJITSU Server PRIMERGY TX1330 M2

 Jan  7 2016 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon E3-1240L v5,2100,1,4,8,16,484122,47.2,16.1,8187
Fujitsu,"FUJITSU Server PRIMERGY RX2560 M2

 Apr 15 2016 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon E5-2699 v4,2200,2,44,88,64,3448187,243,41.7,12079
Fujitsu,"FUJITSU Server PRIMERGY TX2560 M2

 Apr 15 2016 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon E5-2699 v4,2200,2,44,88,64,3440668,241,41.8,12065
Fujitsu,"FUJITSU Server PRIMERGY RX2540 M2

 Apr 27 2016 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon E5-2699 v4,2200,2,44,88,64,3445027,255,43.6,11638
Fujitsu,"FUJITSU Server PRIMERGY RX2530 M2

 May 12 2016 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon E5-2699 v4,2200,2,44,88,64,3448650,266,49.6,10950
