Hardware VendorTest Sponsor,SystemEnclosure (if applicable),Nodes,JVM Vendor,CPU Description,MHz,Chips,Cores,TotalThreads,TotalMemory (GB),ssj_ops @ 100%,avg. watts@ 100%,avg. watts@ active idle,Result(Overall ssj_ops/watt)
Acer Incorporated,"Gateway GT110 F1

 May 19 2010 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon Processor L3360,2833,1,4,4,4,184372,94.5,47.7,1263
Acer Incorporated,"Gateway GR380 F1 (Intel Xeon X5670 2.93 GHz)

 Jul 14 2010 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,905129,260,76.6,2519
Acer Incorporated,"Acer AR380 F1 (Intel Xeon X5670 2.93 GHz)

 Jul 14 2010 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,895860,259,76.6,2502
Acer Incorporated,"Gateway GW2000ht-GW170ht F1
Gateway GW2000ht

 Aug 25 2010 | 
    HTML | 
    Text",2,IBM Corporation,Intel Xeon X5670,2933,4,24,48,24,1772060,596,204,2098
Acer Incorporated,"Acer AW2000ht-AW170ht F1
Acer AW2000ht

 Aug 25 2010 | 
    HTML | 
    Text",2,IBM Corporation,Intel Xeon X5670,2933,4,24,48,24,1775143,597,205,2099
Acer Incorporated,"Gateway GR360 F1 (Intel Xeon X5670 2.93 GHz)

 Sep 22 2010 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,891056,272,73.3,2426
Acer Incorporated,"Acer AR360 F1 (Intel Xeon X5670 2.93 GHz)

 Sep 22 2010 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,890144,272,73.6,2414
Acer Incorporated,"Acer AT350 F1 (Intel Xeon X5670 2.93 GHz)

 Oct  6 2010 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,905850,259,78.8,2518


Acer Incorporated,"Gateway GT350 F1(Intel Xeon X5670 2.93 GHz)

 Oct  6 2010 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,903549,257,78.4,2531
Acer Incorporated,"Gateway GT150 F1(Intel Xeon X5670 2.93 GHz)

 Oct  6 2010 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,904396,245,65.5,2716
Acer Incorporated,"Acer AT150 F1(Intel Xeon X5670 2.93 GHz)

 Oct  6 2010 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,901396,244,65.4,2724
Acer Incorporated,"Acer AR160 F1(Intel Xeon X5670 2.93 GHz)

 Nov  3 2010 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,898544,267,76.9,2471
Acer Incorporated,"Gateway GR160 F1(Intel Xeon X5670 2.93 GHz)

 Nov  3 2010 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,893973,267,76.9,2477
Acer Incorporated,"Gateway GT115 F1 (AMD Opteron 4164EE 1.80 GHz)

 Nov  3 2010 | 
    HTML | 
    Text",1,IBM Corporation,AMD Opteron 4164EE,1800,1,6,6,8,215041,70.3,32,1971
Acer Incorporated,"Acer AT115 F1 (AMD Opteron 4164EE 1.80 GHz)

 Nov  3 2010 | 
    HTML | 
    Text",1,IBM Corporation,AMD Opteron 4164EE,1800,1,6,6,8,215832,70.2,31.9,1980
Acer Incorporated,"Gateway GW2000h-GW175h F1
Gateway GW2000h

 Nov 10 2010 | 
    HTML | 
    Text",4,IBM Corporation,AMD Opteron 6174,2200,8,96,96,64,3720023,1111,284,2481
Acer Incorporated,"Acer AW2000h-AW175h F1
Acer AW2000h

 Nov 10 2010 | 
    HTML | 
    Text",4,IBM Corporation,AMD Opteron 6174,2200,8,96,96,64,3724716,1113,284,2474
Acer Incorporated,"Acer AR385 F1 (AMD Opteron 6174 2.20 GHz)

 Nov 18 2010 | 
    HTML | 
    Text",1,IBM Corporation,AMD Opteron 6174,2200,2,24,24,16,935214,273,86.7,2424
Acer Incorporated,"Gateway GR385 F1 (AMD Opteron 6174 2.20 GHz)

 Nov 18 2010 | 
    HTML | 
    Text",1,IBM Corporation,AMD Opteron 6174,2200,2,24,24,16,932415,273,86.5,2426
Acer Incorporated,"Acer AR585 F1

 Nov 18 2010 | 
    HTML | 
    Text",1,IBM Corporation,AMD Opteron 6174,2200,4,48,48,32,1812580,518,143,2562
Acer Incorporated,"Gateway GR585 F1

 Nov 18 2010 | 
    HTML | 
    Text",1,IBM Corporation,AMD Opteron 6174,2200,4,48,48,32,1808578,518,142,2555


Acer Incorporated,"Acer AR320 F1 (Intel Xeon X3470 2.93 GHz)

 Dec  1 2010 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon X3470,2933,1,4,8,8,308318,124,39.6,1911
Acer Incorporated,"Gateway GR320 F1 (Intel Xeon X3470 2.93 GHz)

 Dec  1 2010 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon X3470,2933,1,4,8,8,312716,125,39.6,1932
Acer Incorporated,"Gateway GT310 F1 (Intel Xeon X3470 2.93 GHz)

 Dec  1 2010 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon X3470,2933,1,4,8,8,313001,127,34.6,1987
Acer Incorporated,"Acer AR180 F1(Intel Xeon X5670 2.93 GHz)

 Dec  1 2010 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,897310,265,76.4,2485
Acer Incorporated,"Gateway GR180 F1(Intel Xeon X5670 2.93 GHz)

 Dec  1 2010 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,896101,265,76.5,2484
Acer Incorporated,"AT310 F1

 Feb 17 2011 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon X3470,2933,1,4,8,8,309401,125,35.4,2004
Acer Incorporated,"Gateway GW2000h-GW170h F1
Gateway GW2000h

 Mar 23 2011 | 
    HTML | 
    Text",4,IBM Corporation,Intel Xeon X5675,3067,8,48,96,48,3567236,1025,270,2659
Acer Incorporated,"Gateway GW2000h-GW170h F1
Gateway GW2000h

 Mar 23 2011 | 
    HTML | 
    Text",4,IBM Corporation,Intel Xeon X5675,3067,8,48,96,96,3732850,1014,269,2795
Acer Incorporated,"Acer AW2000h-AW170h F1
Acer AW2000h

 Apr  7 2011 | 
    HTML | 
    Text",4,IBM Corporation,Intel Xeon X5675,3067,8,48,96,96,3719937,1016,282,2769
Acer Incorporated,"Gateway GR585 F1

 May  4 2011 | 
    HTML | 
    Text",1,IBM Corporation,AMD Opteron 6168,1900,4,48,48,32,1664712,524,192,2210
Acer Incorporated,"Gateway GR585 F1

 May  4 2011 | 
    HTML | 
    Text",1,IBM Corporation,AMD Opteron 6176,2300,4,48,48,32,1861672,571,185,2350
Acer Incorporated,"Gateway GR385 F1

 May  5 2011 | 
    HTML | 
    Text",1,IBM Corporation,AMD Opteron 6176,2300,2,24,24,16,959188,295,97.3,2291
Acer Incorporated,"Gateway GT350 F1

 May 11 2011 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon X5675,3067,2,12,24,12,900626,264,79.5,2462


Acer Incorporated,"Gateway GT110 F2 (Intel Xeon E3-1270)

 May 18 2011 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E3-1270,3400,1,4,8,8,395190,102,21.4,3270
Acer Incorporated,"Acer AT110 F2 (Intel Xeon E3-1270)

 May 18 2011 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E3-1270,3400,1,4,8,8,393522,102,21.3,3260
Acer Incorporated,"Acer AC100

 Sep 13 2011 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E3-1260L,2400,1,4,8,8,295443,58,21.5,3741
Acer Incorporated,"Acer AR585 F1

 Mar 14 2012 | 
    HTML | 
    Text",1,IBM Corporation,AMD Opteron 6238,2600,4,48,48,64,1898162,559,127,2552
Acer Incorporated,"Acer AR385 F1

 Mar 14 2012 | 
    HTML | 
    Text",1,IBM Corporation,AMD Opteron 6238,2600,2,24,24,32,987946,290,89.8,2506
Acer Incorporated,"Acer AR385 F1

 Apr  4 2012 | 
    HTML | 
    Text",1,IBM Corporation,AMD Opteron 6276,2300,2,32,32,32,1183480,307,94.9,2812
Acer Incorporated,"Acer AR585 F1

 Jun  5 2012 | 
    HTML | 
    Text",1,IBM Corporation,AMD Opteron 6276,2300,4,64,64,64,2205974,588,130,2803
Acer Incorporated,"Acer AR585 F1

 Jun 14 2012 | 
    HTML | 
    Text",1,IBM Corporation,AMD Opteron 6276,2300,4,64,64,256,2220373,779,187,2076
Acer Incorporated,"Acer AR585 F1

 Jun 14 2012 | 
    HTML | 
    Text",1,IBM Corporation,AMD Opteron 6276,2300,4,64,64,256,2228464,713,177,2284
